coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
FRANCESCAS HOLDINGS CORP,187041,2019,35179320,OTH,Houston,TX,77080,EX,FRANQ
WPX ENERGY INC,187128,2019,98212B10,NYS,Tulsa,OK,74172,EX,WPX
HOMESTREET INC,187164,2019,43785V10,NAS,Seattle,WA,98101,SM,HMST
AMC NETWORKS INC,187406,2019,00164V10,NAS,New York,NY,10001,SM,AMCX
ENPHASE ENERGY INC,187450,2019,29355A10,NAS,Fremont,CA,94538,SP,ENPH
TRINSEO SA,187551,2019,L9340P10,NYS,Berwyn,PA,19312,SM,TSE
RENEWABLE ENERGY GROUP INC,187692,2019,75972A30,NAS,Ames,IA,50010,SM,REGI
PROTO LABS INC,187696,2019,74371310,NYS,Maple Plain,MN,55359,SM,PRLB
BONANZA CREEK ENERGY INC,187698,2019,09779340,NYS,Denver,CO,80202,SM,BCEI
ERA GROUP INC,187766,2019,26885G10,NYS,Houston,TX,77024,EX,ERA
CHUY'S HOLDINGS INC,187775,2019,17160410,NAS,Austin,TX,78704,SM,CHUY
MATADOR RESOURCES CO,187812,2019,57648520,NYS,Dallas,TX,75240,SM,MTDR
FIESTA RESTAURANT GROUP INC,187833,2019,31660B10,NAS,Dallas,TX,75254,SM,FRGI
LAREDO PETROLEUM INC,187961,2019,51680620,NYS,Tulsa,OK,74119,SM,LPI
FORTUNE BRANDS HOME & SECUR,188255,2019,34964C10,NYS,Deerfield,IL,60015,SP,FBHS
XYLEM INC,189491,2019,98419M10,NYS,Rye Brook,NY,10573,SP,XYL
ENOVA INTERNATIONAL INC,189517,2019,29357K10,NYS,Chicago,IL,60604,SM,ENVA
GROCERY OUTLET HLDNG CORP,189579,2019,39874R10,NAS,EmeryVille,CA,94608,MD,GO
NATIONAL BANK HLDGS CORP,190963,2019,63370710,NYS,Greenwood Village,CO,80111,SM,NBHC
MARRIOTT VACATIONS WORLDWIDE,191255,2019,57164Y10,NYS,Orlando,FL,32821,MD,VAC
ACADIA HEALTHCARE CO INC,192255,2019,00404A10,NAS,Franklin,TN,37067,MD,ACHC
PBF ENERGY INC,196159,2019,69318G10,NYS,Parsippany,NJ,07054,SM,PBF
YELP INC,196268,2019,98581710,NYS,San Francisco,CA,94105,MD,YELP
CAPRI HOLDINGS LTD,198058,2019,G1890L10,NYS,London,,WC2B,MD,CPRI
TRIPADVISOR INC,199356,2019,89694520,NAS,Needham,MA,02494,MD,TRIP
TRI POINTE HOMES INC,258869,2019,87265H10,NYS,Incline Village,NV,89451,MD,TPH
JANUS HENDERSON GROUP PLC,259518,2019,G4474Y21,NYS,London,,EC2M,MD,JHG
CBRE GROUP INC,260774,2019,12504L10,NYS,Dallas,TX,75201,SP,CBRE
BLACKBAUD INC,260893,2019,09227Q10,NAS,Charleston,SC,29492,MD,BLKB
NUVASIVE INC,264385,2019,67070410,NAS,San Diego,CA,92121,MD,NUVA
ANGIODYNAMICS INC,264387,2019,03475V10,NAS,Latham,NY,12110,SM,ANGO
GREENHILL & CO INC,264395,2019,39525910,NYS,New York,NY,10020,SM,GHL
CARDTRONICS PLC,264397,2019,G1991C10,NAS,Houston,TX,77042,EX,CATM
MOMENTA PHARMACEUTICALS INC,264414,2019,60877T10,NAS,Cambridge,MA,02142,EX,MNTA
ULTRA CLEAN HOLDINGS INC,264416,2019,90385V10,NAS,Hayward,CA,94545,SM,UCTT
KITE REALTY GROUP TRUST,266315,2019,49803T30,NYS,Indianapolis,IN,46204,SM,KRG
FUTUREFUEL CORP,287462,2019,36116M10,NYS,Saint Louis,MO,63105,SM,FF
LYONDELLBASELL INDUSTRIES NV,294524,2019,N5374510,NYS,Houston,TX,77010,SP,LYB
ALLEGION PLC,316056,2019,G0176J10,NYS,Dublin,,D02 V,SP,ALLE
DORIAN LPG LTD,317264,2019,Y2106R11,NYS,Stamford,CT,06902,SM,LPG
NVENT ELECTRIC PLC,326688,2019,G6700G10,NYS,London,,TW8 9,MD,NVT
ARCOSA INC,328795,2019,03965310,NYS,Dallas,TX,75201,SM,ACA
