coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
BANCORP INC,158587,2019,05969A10,NAS,Wilmington,DE,19809,SM,TBBK
MARKETAXESS HOLDINGS INC,158742,2019,57060D10,NAS,New York,NY,10001,SP,MKTX
B&G FOODS INC,158743,2019,05508R10,NYS,Parsippany,NJ,07054,SM,BGS
DOMINO'S PIZZA INC,160211,2019,25754A20,NYS,Ann Arbor,MI,48105,SP,DPZ
MASTERCARD INC,160225,2019,57636Q10,NYS,Purchase,NY,10577,SP,MA
ALPHABET INC,160329,2019,02079K30,NAS,Mountain View,CA,94043,SP,GOOGL
TEXAS ROADHOUSE INC,160376,2019,88268110,NAS,Louisville,KY,40205,MD,TXRH
EXTRA SPACE STORAGE INC,160479,2019,30225T10,NYS,Salt Lake City,UT,84121,SP,EXR
INNOVIVA INC,160668,2019,45781M10,NAS,Burlingame,CA,94010,SM,INVA
DIAMONDROCK HOSPITALITY CO,160706,2019,25278430,NYS,Bethesda,MD,20814,SM,DRH
SIGNATURE BANK/NY,160776,2019,82669G10,NAS,New York,NY,10017,MD,SBNY
VIAD CORP,160785,2019,92552R40,NYS,Phoenix,AZ,85004,SM,VVI
MONOLITHIC POWER SYSTEMS INC,160888,2019,60983910,NAS,Kirkland,WA,98033,SP,MPWR
ENERSYS,160893,2019,29275Y10,NYS,Reading,PA,19605,MD,ENS
DIGITAL REALTY TRUST INC,160991,2019,25386810,NYS,San Francisco,CA,94111,SP,DLR
AMERICAN CAMPUS COMMUNITIES,161048,2019,02483510,NYS,Austin,TX,78738,MD,ACC
LAS VEGAS SANDS CORP,161844,2019,51783410,NYS,Las Vegas,NV,89109,SP,LVS
CONSOLIDATED COMM HLDGS INC,162127,2019,20903410,NAS,Mattoon,IL,61938,SM,CNSL
MOSAIC CO,162129,2019,61945C10,NYS,Tampa,FL,33602,SP,MOS
MEDICAL PROPERTIES TRUST,162160,2019,58463J30,NYS,Birmingham,AL,35242,MD,MPW
CELANESE CORP,162254,2019,15087010,NYS,Irving,TX,75039,SP,CE
NEENAH INC,162264,2019,64007910,NYS,Alpharetta,GA,30005,SM,NP
PRESTIGE CONSUMER HEALTHCARE,162335,2019,74112D10,NYS,Tarrytown,NY,10591,SM,PBH
WEX INC,162385,2019,96208T10,NYS,Portland,ME,04101,MD,WEX
LHC GROUP INC,162404,2019,50187A10,NAS,Lafayette,LA,70508,MD,LHCG
